PassengerId,Survived
892,0.06698879518745682
893,0.4742724151695942
894,0.0707747707353159
895,0.10870051640124312
896,0.5941497293191331
897,0.18033903736725176
898,0.6077797953821135
899,0.22153085830710073
900,0.6732178408822883
901,0.07337980604385064
902,0.09019730539050208
903,0.32370867876111475
904,0.9683144403768837
905,0.03763193869249615
906,0.8210101213942291
907,0.7688617456921099
908,0.22068378642200814
909,0.14049087979056352
910,0.584530261628852
911,0.5253036980672944
912,0.25956337139971497
913,0.1821414820568854
914,0.9304205198120619
915,0.46616776170773777
916,0.9033831700687726
917,-0.05282315555843975
918,0.9774290906622671
919,0.1322736025127076
920,0.3544765461506961
921,0.020728675079922043
922,0.10884834176724723
923,0.21550245681610214
924,0.519063684220172
925,0.5361624298312425
926,0.3952797802162904
927,0.15418949373391144
928,0.6066022766975172
929,0.6578588802350916
930,0.12028537274314566
931,0.12666829119516865
932,0.025484785747834193
933,0.41027907349640447
934,0.0313962026316601
935,0.7648517460782951
936,0.8254971685790067
937,0.11910344264762407
938,0.33196346129773613
939,0.09008789243308812
940,0.8010438368489126
941,0.5390269270056186
942,0.4298373608927448
943,0.2665228989041051
944,0.7262805652634781
945,0.9546489702371296
946,0.24900470468281277
947,0.036515890252368344
948,0.06429968151982979
949,0.11889707390078708
950,0.056447931981480126
951,1.0721631003066538
952,0.16290700885410048
953,0.2379813375554023
954,0.15731941104478242
955,0.6516771655644248
956,0.5599695344514773
957,0.7693619001428909
958,0.6737056215566306
959,0.33053757553876917
960,0.4077856722491251
961,0.817068756399219
962,0.640739556655784
963,0.14099426944648474
964,0.6134799579624335
965,0.42086825672236916
966,1.0394630669936935
967,0.5368692744010283
968,0.09031302197509228
969,0.710657008199622
970,0.24856249135586994
971,0.640739556655784
972,0.1677314346408736
973,0.3156796696001827
974,0.307274124205403
975,0.09019730539050208
976,0.24534942639565327
977,0.0552128713140454
978,0.6244019578894953
979,0.6738337953092116
980,0.606377147155513
981,0.3485047039127127
982,0.6164050159332869
983,0.09010665322825506
984,0.8815981759542517
